주문번호,주문일,상품명,옵션명,수량,판매액(A),결제금액,판매자 할인쿠폰,기본배송비,판매수수료,정산금액,상품그룹명,주문상태,로켓 여부
CP2000037,2025.12.28,"여성 오버핏 맨투맨 봄 신상",화이트,1,19900,17910,1990,0,2166,15744,"패션의류",구매확정,Y
CP2000038,2025.10.16,"스테인리스 텀블러 500ml",화이트,3,47700,47700,0,0,4767,42933,"생활/건강",구매확정,N
CP2000039,2026.01.20,"유기농 현미 5kg",M,1,22900,20381,2519,0,2691,17690,"식품",구매확정,N
CP2000040,2025.10.18,"강아지 사료 연어맛 6kg",XL,1,32900,32900,0,0,3286,29614,"반려동물",구매확정,N
CP2000041,2026.03.10,"접이식 캠핑 의자 경량형",,2,49800,47310,2490,2946,5492,38872,"스포츠/레저",구매확정,Y
CP2000042,2026.02.21,"LED 데스크 무드등 조명",,2,37800,37800,0,0,4252,33548,"인테리어",구매확정,N
CP2000043,2025.12.06,"남성 슬림핏 치노 팬츠",베이지,3,89700,89700,0,0,9288,80412,"패션의류",구매확정,N
CP2000044,2025.11.26,"키즈 보온 패딩 점퍼 120-160",,1,35900,35900,0,0,3881,32019,"유아동",구매확정,N
CP2000045,2025.11.17,"에어프라이어 5L 디지털",,2,99800,92814,6986,0,10389,82425,"주방가전",구매확정,Y
CP2000046,2025.10.18,"비타민C 1000mg 180정",XL,1,12900,12900,0,0,1334,11566,"건강식품",구매확정,Y
CP2000047,2025.11.05,"실리콘 주방매트 세트",네이비,2,19800,19800,0,2604,2088,15108,"주방용품",구매확정,N
CP2000048,2026.01.28,"무선 블루투스 이어폰 TWS-500",화이트,1,29900,29900,0,2773,3210,23917,"전자/디지털",구매확정,N
CP2000049,2025.12.04,"여성 오버핏 맨투맨 봄 신상",FREE,3,59700,59700,0,0,6147,53553,"패션의류",구매확정,N
CP2000050,2025.11.09,"스테인리스 텀블러 500ml",S,3,47700,47700,0,0,5160,42540,"생활/건강",구매확정,N
CP2000051,2025.11.30,"유기농 현미 5kg",,2,45800,45800,0,0,5162,40638,"식품",구매확정,N
CP2000052,2025.11.14,"강아지 사료 연어맛 6kg",화이트,2,65800,65800,0,0,7546,58254,"반려동물",구매확정,N
CP2000053,2025.12.20,"접이식 캠핑 의자 경량형",,3,74700,74700,0,2838,7375,64487,"스포츠/레저",구매확정,N
CP2000054,2025.10.10,"LED 데스크 무드등 조명",L,2,37800,34020,3780,0,4106,29914,"인테리어",구매확정,Y
CP2000055,2025.11.16,"남성 슬림핏 치노 팬츠",,2,59800,59800,0,0,6201,53599,"패션의류",구매확정,N
CP2000056,2025.10.11,"키즈 보온 패딩 점퍼 120-160",M,1,35900,35900,0,0,4235,31665,"유아동",배송완료,N
CP2000057,2025.11.10,"에어프라이어 5L 디지털",S,1,49900,49900,0,2761,4929,42210,"주방가전",구매확정,Y
CP2000058,2025.10.12,"비타민C 1000mg 180정",블랙,2,25800,25800,0,0,2633,23167,"건강식품",구매확정,N
CP2000059,2025.12.10,"실리콘 주방매트 세트",블랙,3,29700,29700,0,0,3141,26559,"주방용품",구매확정,N
CP2000060,2025.10.24,"무선 블루투스 이어폰 TWS-500",XL,1,29900,28106,1794,2940,3345,21821,"전자/디지털",배송완료,N
CP2000061,2025.11.14,"여성 오버핏 맨투맨 봄 신상",,1,19900,19900,0,2624,2043,15233,"패션의류",구매확정,N
CP2000062,2025.12.27,"스테인리스 텀블러 500ml",,1,15900,15900,0,0,1694,14206,"생활/건강",구매확정,N
CP2000063,2025.10.31,"유기농 현미 5kg",베이지,3,68700,68700,0,0,6818,61882,"식품",구매확정,N
CP2000064,2025.10.26,"강아지 사료 연어맛 6kg",XL,3,98700,98700,0,2672,10682,85346,"반려동물",구매확정,N
CP2000065,2025.12.14,"접이식 캠핑 의자 경량형",베이지,2,49800,43326,6474,0,5790,37536,"스포츠/레저",구매확정,Y
CP2000066,2025.10.03,"LED 데스크 무드등 조명",,1,18900,18900,0,0,1901,16999,"인테리어",구매확정,Y
CP2000067,2025.11.24,"남성 슬림핏 치노 팬츠",,2,59800,59800,0,2810,6928,50062,"패션의류",구매확정,N
CP2000068,2025.10.11,"키즈 보온 패딩 점퍼 120-160",,1,35900,30515,5385,0,3597,26918,"유아동",배송완료,N
CP2000069,2025.10.08,"에어프라이어 5L 디지털",네이비,2,99800,84830,14970,0,11210,73620,"주방가전",구매확정,N
CP2000070,2025.11.25,"비타민C 1000mg 180정",M,3,38700,38700,0,2593,4108,31999,"건강식품",구매확정,Y
CP2000071,2025.11.16,"실리콘 주방매트 세트",그레이,1,9900,8910,990,2795,1087,5028,"주방용품",배송완료,N
CP2000072,2026.02.18,"무선 블루투스 이어폰 TWS-500",,1,29900,29900,0,0,3517,26383,"전자/디지털",구매확정,Y
CP2000073,2026.01.27,"여성 오버핏 맨투맨 봄 신상",,1,19900,19900,0,0,2120,17780,"패션의류",구매확정,N
CP2000074,2025.10.24,"스테인리스 텀블러 500ml",,2,31800,28302,3498,0,3265,25037,"생활/건강",구매확정,Y
CP2000075,2025.11.26,"유기농 현미 5kg",블랙,3,68700,68700,0,2832,7228,58640,"식품",구매확정,N
CP2000076,2025.11.14,"강아지 사료 연어맛 6kg",,2,65800,57246,8554,0,6468,50778,"반려동물",구매확정,N
CP2000077,2026.03.04,"접이식 캠핑 의자 경량형",화이트,1,24900,24900,0,0,2560,22340,"스포츠/레저",구매확정,Y
CP2000078,2025.10.17,"LED 데스크 무드등 조명",,2,37800,37800,0,0,4404,33396,"인테리어",구매확정,N
CP2000079,2026.01.17,"남성 슬림핏 치노 팬츠",블랙,2,59800,59800,0,0,7006,52794,"패션의류",구매확정,N
CP2000080,2025.11.08,"키즈 보온 패딩 점퍼 120-160",S,2,71800,62466,9334,2917,7156,52393,"유아동",구매확정,N
CP2000081,2025.12.27,"에어프라이어 5L 디지털",블랙,1,49900,49900,0,0,5110,44790,"주방가전",구매확정,N
CP2000082,2026.01.23,"비타민C 1000mg 180정",화이트,3,38700,38700,0,2946,4393,31361,"건강식품",구매확정,N
CP2000083,2026.03.05,"실리콘 주방매트 세트",블랙,1,9900,9900,0,0,1047,8853,"주방용품",구매확정,Y
CP2000084,2026.02.25,"무선 블루투스 이어폰 TWS-500",L,1,29900,29900,0,0,3392,26508,"전자/디지털",구매확정,N
CP2000085,2026.02.16,"여성 오버핏 맨투맨 봄 신상",M,1,19900,17512,2388,2836,2032,12644,"패션의류",구매확정,N
CP2000086,2025.10.13,"스테인리스 텀블러 500ml",,2,31800,29574,2226,0,3404,26170,"생활/건강",구매확정,N
CP2000087,2025.12.27,"유기농 현미 5kg",,1,22900,22900,0,0,2532,20368,"식품",구매확정,N
CP2000088,2026.02.28,"강아지 사료 연어맛 6kg",네이비,3,98700,98700,0,2871,11064,84765,"반려동물",구매확정,Y
CP2000089,2025.12.11,"접이식 캠핑 의자 경량형",FREE,3,74700,74700,0,2783,7901,64016,"스포츠/레저",구매확정,N
CP2000090,2025.10.09,"LED 데스크 무드등 조명",블랙,3,56700,56700,0,2754,6501,47445,"인테리어",구매확정,Y
CP2000091,2026.02.14,"남성 슬림핏 치노 팬츠",XL,1,29900,27508,2392,0,3440,24068,"패션의류",구매확정,N
CP2000092,2026.03.08,"키즈 보온 패딩 점퍼 120-160",,3,107700,107700,0,0,11832,95868,"유아동",배송완료,N
CP2000093,2026.01.10,"에어프라이어 5L 디지털",,1,49900,49900,0,2867,5308,41725,"주방가전",구매확정,Y
CP2000094,2025.12.09,"비타민C 1000mg 180정",네이비,2,25800,25800,0,0,2630,23170,"건강식품",구매확정,N
CP2000095,2026.01.13,"실리콘 주방매트 세트",,2,19800,19800,0,0,1968,17832,"주방용품",구매확정,Y
CP2000096,2025.11.01,"무선 블루투스 이어폰 TWS-500",XL,1,29900,29900,0,0,2957,26943,"전자/디지털",구매확정,N
CP2000097,2025.10.31,"여성 오버핏 맨투맨 봄 신상",,3,59700,53133,6567,0,6703,46430,"패션의류",구매확정,N
CP2000098,2025.11.14,"스테인리스 텀블러 500ml",그레이,1,15900,15900,0,0,1597,14303,"생활/건강",구매확정,N
CP2000099,2025.11.13,"유기농 현미 5kg",M,1,22900,20152,2748,0,2657,17495,"식품",구매확정,N
CP2000100,2025.12.09,"강아지 사료 연어맛 6kg",그레이,1,32900,32900,0,2836,3358,26706,"반려동물",구매확정,Y
CP2000101,2025.10.06,"접이식 캠핑 의자 경량형",,2,49800,49800,0,2821,5326,41653,"스포츠/레저",구매확정,Y
CP2000102,2026.02.20,"LED 데스크 무드등 조명",,3,56700,48762,7938,0,6585,42177,"인테리어",배송완료,N
CP2000103,2026.02.28,"남성 슬림핏 치노 팬츠",블랙,2,59800,59800,0,2908,6939,49953,"패션의류",구매확정,N
CP2000104,2026.02.14,"키즈 보온 패딩 점퍼 120-160",XL,1,35900,35900,0,0,3752,32148,"유아동",구매확정,N
CP2000105,2025.10.08,"에어프라이어 5L 디지털",그레이,1,49900,49900,0,0,5425,44475,"주방가전",구매확정,Y
CP2000106,2026.02.15,"비타민C 1000mg 180정",베이지,2,25800,25800,0,0,2907,22893,"건강식품",구매확정,Y
CP2000107,2025.12.19,"실리콘 주방매트 세트",FREE,1,9900,8811,1089,0,1025,7786,"주방용품",구매확정,Y
CP2000108,2026.01.20,"무선 블루투스 이어폰 TWS-500",S,2,59800,53222,6578,0,5957,47265,"전자/디지털",구매확정,N
CP2000109,2025.11.10,"여성 오버핏 맨투맨 봄 신상",S,3,59700,59700,0,0,6001,53699,"패션의류",구매확정,N
CP2000110,2025.10.01,"스테인리스 텀블러 500ml",,2,31800,27666,4134,2952,3201,21513,"생활/건강",구매확정,Y
CP2000111,2026.01.30,"유기농 현미 5kg",,3,68700,68700,0,2993,7695,58012,"식품",구매확정,N
CP2000112,2026.02.19,"강아지 사료 연어맛 6kg",화이트,3,98700,98700,0,2784,10529,85387,"반려동물",구매확정,Y
CP2000113,2025.11.22,"접이식 캠핑 의자 경량형",XL,3,74700,74700,0,0,8433,66267,"스포츠/레저",구매확정,N
CP2000114,2026.03.02,"LED 데스크 무드등 조명",M,2,37800,37800,0,0,4209,33591,"인테리어",구매확정,N
CP2000115,2026.01.16,"남성 슬림핏 치노 팬츠",화이트,1,29900,27209,2691,0,3488,23721,"패션의류",구매확정,Y
CP2000116,2025.10.16,"키즈 보온 패딩 점퍼 120-160",,2,71800,63902,7898,2823,7650,53429,"유아동",구매확정,Y
CP2000117,2026.03.14,"에어프라이어 5L 디지털",블랙,1,49900,49900,0,0,4892,45008,"주방가전",구매확정,N
CP2000118,2026.01.23,"비타민C 1000mg 180정",,2,25800,22704,3096,0,2779,19925,"건강식품",구매확정,N
CP2000119,2026.02.23,"실리콘 주방매트 세트",XL,3,29700,29700,0,0,3107,26593,"주방용품",구매확정,N
CP2000120,2026.01.31,"무선 블루투스 이어폰 TWS-500",S,3,89700,83421,6279,0,9913,73508,"전자/디지털",구매확정,Y
CP2000121,2026.03.04,"여성 오버핏 맨투맨 봄 신상",네이비,2,39800,39800,0,2519,3907,33374,"패션의류",구매확정,N
CP2000122,2025.10.01,"스테인리스 텀블러 500ml",그레이,3,47700,47700,0,0,5380,42320,"생활/건강",구매확정,N
CP2000123,2025.10.18,"유기농 현미 5kg",,1,22900,22900,0,0,2579,20321,"식품",구매확정,N
CP2000124,2026.01.27,"강아지 사료 연어맛 6kg",,2,65800,65800,0,2678,7369,55753,"반려동물",구매확정,N
CP2000125,2026.01.05,"접이식 캠핑 의자 경량형",,2,49800,49800,0,2856,4897,42047,"스포츠/레저",구매확정,N
CP2000126,2025.12.10,"LED 데스크 무드등 조명",FREE,3,56700,56700,0,0,6558,50142,"인테리어",구매확정,N
CP2000127,2025.10.09,"남성 슬림핏 치노 팬츠",화이트,1,29900,29900,0,2567,3331,24002,"패션의류",구매확정,Y
CP2000128,2025.10.23,"키즈 보온 패딩 점퍼 120-160",,3,107700,107700,0,2960,11528,93212,"유아동",구매확정,N
CP2000129,2026.02.13,"에어프라이어 5L 디지털",L,2,99800,91816,7984,2735,10466,78615,"주방가전",구매확정,N
CP2000130,2026.02.23,"비타민C 1000mg 180정",L,3,38700,38700,0,2915,4284,31501,"건강식품",구매확정,N
CP2000131,2025.12.28,"실리콘 주방매트 세트",블랙,2,19800,19800,0,0,2254,17546,"주방용품",구매확정,N
CP2000132,2025.12.12,"무선 블루투스 이어폰 TWS-500",,1,29900,29900,0,0,3102,26798,"전자/디지털",구매확정,N
CP2000133,2026.01.04,"여성 오버핏 맨투맨 봄 신상",S,3,59700,59700,0,0,6867,52833,"패션의류",구매확정,N
CP2000134,2025.10.17,"스테인리스 텀블러 500ml",,3,47700,47700,0,0,5372,42328,"생활/건강",구매확정,N
CP2000135,2025.11.09,"유기농 현미 5kg",,1,22900,22900,0,2527,2424,17949,"식품",구매확정,N
CP2000136,2026.01.17,"강아지 사료 연어맛 6kg",네이비,3,98700,86856,11844,2560,11619,72677,"반려동물",구매확정,Y
CP2000137,2025.10.16,"접이식 캠핑 의자 경량형",XL,1,24900,24900,0,0,2663,22237,"스포츠/레저",구매확정,N
CP2000138,2025.11.19,"LED 데스크 무드등 조명",FREE,2,37800,37800,0,0,4072,33728,"인테리어",구매확정,N
CP2000139,2026.01.28,"남성 슬림핏 치노 팬츠",XL,1,29900,29900,0,2634,2962,24304,"패션의류",구매확정,Y
CP2000140,2025.12.02,"키즈 보온 패딩 점퍼 120-160",,1,35900,35900,0,0,4216,31684,"유아동",구매확정,N
CP2000141,2026.01.05,"에어프라이어 5L 디지털",FREE,1,49900,46407,3493,2993,5497,37917,"주방가전",구매확정,N
CP2000142,2025.11.10,"비타민C 1000mg 180정",그레이,1,12900,12900,0,0,1400,11500,"건강식품",구매확정,N
CP2000143,2025.11.01,"실리콘 주방매트 세트",네이비,3,29700,29700,0,0,3223,26477,"주방용품",구매확정,N
CP2000144,2026.02.07,"무선 블루투스 이어폰 TWS-500",,1,29900,29900,0,2867,3209,23824,"전자/디지털",배송완료,Y
CP2000145,2025.10.18,"여성 오버핏 맨투맨 봄 신상",,2,39800,39800,0,0,4039,35761,"패션의류",구매확정,Y
CP2000146,2025.12.02,"스테인리스 텀블러 500ml",FREE,2,31800,31800,0,2997,3582,25221,"생활/건강",배송완료,Y
CP2000147,2026.03.10,"유기농 현미 5kg",FREE,1,22900,22900,0,0,2628,20272,"식품",구매확정,N
CP2000148,2025.10.14,"강아지 사료 연어맛 6kg",,2,65800,59220,6580,0,7053,52167,"반려동물",구매확정,Y
CP2000149,2025.11.05,"접이식 캠핑 의자 경량형",화이트,3,74700,74700,0,2780,8393,63527,"스포츠/레저",구매확정,Y
CP2000150,2026.01.13,"LED 데스크 무드등 조명",S,1,18900,17577,1323,0,1938,15639,"인테리어",구매확정,N
CP2000151,2025.10.28,"남성 슬림핏 치노 팬츠",화이트,2,59800,59800,0,0,6351,53449,"패션의류",구매확정,Y
CP2000152,2025.10.09,"키즈 보온 패딩 점퍼 120-160",L,1,35900,35900,0,0,3643,32257,"유아동",구매확정,N
CP2000153,2026.02.05,"에어프라이어 5L 디지털",,2,99800,99800,0,0,11539,88261,"주방가전",배송완료,N
CP2000154,2026.03.12,"비타민C 1000mg 180정",네이비,1,12900,12900,0,0,1269,11631,"건강식품",구매확정,N
CP2000155,2026.01.24,"실리콘 주방매트 세트",XL,3,29700,29700,0,0,3117,26583,"주방용품",구매확정,N
CP2000156,2025.12.22,"무선 블루투스 이어폰 TWS-500",,1,29900,29900,0,2999,3064,23837,"전자/디지털",구매확정,Y
CP2000157,2025.11.21,"여성 오버핏 맨투맨 봄 신상",,1,19900,19900,0,0,2157,17743,"패션의류",구매확정,Y
CP2000158,2025.11.03,"스테인리스 텀블러 500ml",L,3,47700,47700,0,0,5288,42412,"생활/건강",구매확정,Y
CP2000159,2026.01.19,"유기농 현미 5kg",베이지,1,22900,21297,1603,0,2541,18756,"식품",배송완료,Y
CP2000160,2026.03.01,"강아지 사료 연어맛 6kg",네이비,3,98700,98700,0,0,10080,88620,"반려동물",구매확정,Y
CP2000161,2025.10.06,"접이식 캠핑 의자 경량형",,2,49800,49800,0,0,5208,44592,"스포츠/레저",배송완료,Y
CP2000162,2026.02.10,"LED 데스크 무드등 조명",,1,18900,18900,0,0,2167,16733,"인테리어",구매확정,N
CP2000163,2026.01.08,"남성 슬림핏 치노 팬츠",그레이,3,89700,79833,9867,0,10582,69251,"패션의류",배송완료,N
CP2000164,2025.10.17,"키즈 보온 패딩 점퍼 120-160",화이트,2,71800,71800,0,0,7066,64734,"유아동",구매확정,N
CP2000165,2026.01.03,"에어프라이어 5L 디지털",,3,149700,134730,14970,2874,16400,115456,"주방가전",구매확정,N
CP2000166,2026.03.01,"비타민C 1000mg 180정",화이트,3,38700,38700,0,0,4491,34209,"건강식품",구매확정,N
CP2000167,2025.11.25,"실리콘 주방매트 세트",S,1,9900,9900,0,0,1153,8747,"주방용품",구매확정,N
CP2000168,2026.03.04,"무선 블루투스 이어폰 TWS-500",L,1,29900,29900,0,2825,3316,23759,"전자/디지털",구매확정,N
CP2000169,2026.01.15,"여성 오버핏 맨투맨 봄 신상",네이비,1,19900,19900,0,0,1973,17927,"패션의류",구매확정,N
CP2000170,2026.03.15,"스테인리스 텀블러 500ml",,1,15900,14469,1431,0,1683,12786,"생활/건강",구매확정,N
CP2000171,2026.01.22,"유기농 현미 5kg",블랙,2,45800,41220,4580,0,5260,35960,"식품",구매확정,N
CP2000172,2025.10.18,"강아지 사료 연어맛 6kg",,2,65800,65800,0,2887,7222,55691,"반려동물",구매확정,N
CP2000173,2025.11.27,"접이식 캠핑 의자 경량형",,2,49800,49800,0,2626,4956,42218,"스포츠/레저",구매확정,N
CP2000174,2025.12.06,"LED 데스크 무드등 조명",화이트,2,37800,35154,2646,0,4066,31088,"인테리어",구매확정,N
CP2000175,2025.10.03,"남성 슬림핏 치노 팬츠",네이비,3,89700,89700,0,2922,8835,77943,"패션의류",배송완료,N
CP2000176,2026.02.19,"키즈 보온 패딩 점퍼 120-160",,1,35900,35900,0,0,3573,32327,"유아동",구매확정,N
CP2000177,2025.12.14,"에어프라이어 5L 디지털",베이지,1,49900,49900,0,2888,5545,41467,"주방가전",구매확정,N
CP2000178,2025.10.02,"비타민C 1000mg 180정",네이비,2,25800,25800,0,2934,2882,19984,"건강식품",구매확정,N
CP2000179,2025.12.05,"실리콘 주방매트 세트",블랙,3,29700,27918,1782,0,3210,24708,"주방용품",구매확정,Y
CP2000180,2025.10.17,"무선 블루투스 이어폰 TWS-500",화이트,2,59800,59800,0,0,6862,52938,"전자/디지털",구매확정,N
CP2000181,2025.10.30,"여성 오버핏 맨투맨 봄 신상",블랙,1,19900,19900,0,0,2134,17766,"패션의류",구매확정,N
CP2000182,2025.10.25,"스테인리스 텀블러 500ml",,2,31800,27984,3816,2890,3720,21374,"생활/건강",구매확정,Y
CP2000183,2026.02.08,"유기농 현미 5kg",화이트,3,68700,68700,0,0,7044,61656,"식품",구매확정,N
CP2000184,2025.11.02,"강아지 사료 연어맛 6kg",,2,65800,65800,0,2859,7382,55559,"반려동물",구매확정,N
CP2000185,2026.01.25,"접이식 캠핑 의자 경량형",,2,49800,49800,0,0,5077,44723,"스포츠/레저",구매확정,N
CP2000186,2025.11.21,"LED 데스크 무드등 조명",그레이,2,37800,37800,0,2723,4322,30755,"인테리어",구매확정,N
CP2000187,2026.01.08,"남성 슬림핏 치노 팬츠",블랙,3,89700,89700,0,0,9088,80612,"패션의류",구매확정,Y
CP2000188,2026.01.21,"키즈 보온 패딩 점퍼 120-160",,1,35900,35900,0,0,4210,31690,"유아동",구매확정,N
CP2000189,2026.01.03,"에어프라이어 5L 디지털",FREE,3,149700,149700,0,0,14924,134776,"주방가전",구매확정,N
CP2000190,2026.01.13,"비타민C 1000mg 180정",,3,38700,38700,0,2831,3832,32037,"건강식품",구매확정,Y
CP2000191,2025.11.07,"실리콘 주방매트 세트",네이비,1,9900,9900,0,0,1109,8791,"주방용품",배송완료,N
CP2000192,2026.01.30,"무선 블루투스 이어폰 TWS-500",블랙,2,59800,59800,0,2928,6667,50205,"전자/디지털",구매확정,Y
CP2000193,2025.10.26,"여성 오버핏 맨투맨 봄 신상",M,2,39800,34626,5174,2999,4674,26953,"패션의류",구매확정,Y
CP2000194,2025.11.28,"스테인리스 텀블러 500ml",베이지,2,31800,31800,0,0,3549,28251,"생활/건강",구매확정,N
CP2000195,2026.02.14,"유기농 현미 5kg",블랙,3,68700,68700,0,2544,7969,58187,"식품",구매확정,Y
CP2000196,2025.10.03,"강아지 사료 연어맛 6kg",화이트,3,98700,98700,0,0,9711,88989,"반려동물",구매확정,N
CP2000197,2026.02.26,"접이식 캠핑 의자 경량형",,2,49800,49800,0,2632,5358,41810,"스포츠/레저",구매확정,N
CP2000198,2025.11.12,"LED 데스크 무드등 조명",,1,18900,18900,0,0,1935,16965,"인테리어",구매확정,Y
CP2000199,2026.01.17,"남성 슬림핏 치노 팬츠",그레이,1,29900,29900,0,2532,2985,24383,"패션의류",구매확정,N
CP2000200,2026.01.07,"키즈 보온 패딩 점퍼 120-160",,2,71800,71800,0,2659,7674,61467,"유아동",구매확정,N
CP2000201,2026.02.13,"에어프라이어 5L 디지털",베이지,2,99800,99800,0,2536,11556,85708,"주방가전",구매확정,N
CP2000202,2026.03.01,"비타민C 1000mg 180정",블랙,1,12900,12900,0,0,1267,11633,"건강식품",구매확정,N
CP2000203,2025.11.05,"실리콘 주방매트 세트",XL,2,19800,19800,0,0,2313,17487,"주방용품",구매확정,N
CP2000204,2025.10.22,"무선 블루투스 이어폰 TWS-500",그레이,3,89700,89700,0,2748,10108,76844,"전자/디지털",구매확정,N
CP2000205,2025.11.22,"여성 오버핏 맨투맨 봄 신상",화이트,3,59700,50745,8955,2908,6430,41407,"패션의류",배송완료,N
CP2000206,2025.12.06,"스테인리스 텀블러 500ml",L,3,47700,47700,0,2558,5279,39863,"생활/건강",배송완료,Y
CP2000207,2026.02.08,"유기농 현미 5kg",화이트,3,68700,60456,8244,0,6997,53459,"식품",구매확정,N
CP2000208,2025.10.29,"강아지 사료 연어맛 6kg",,1,32900,32900,0,0,3425,29475,"반려동물",구매확정,N
CP2000209,2025.12.12,"접이식 캠핑 의자 경량형",,2,49800,44820,4980,0,5747,39073,"스포츠/레저",배송완료,N
CP2000210,2025.11.29,"LED 데스크 무드등 조명",,3,56700,56700,0,2978,5668,48054,"인테리어",구매확정,N
CP2000211,2025.11.01,"남성 슬림핏 치노 팬츠",L,2,59800,59800,0,0,6219,53581,"패션의류",구매확정,N
CP2000212,2026.01.18,"키즈 보온 패딩 점퍼 120-160",S,2,71800,71800,0,0,7991,63809,"유아동",구매확정,N
CP2000213,2026.02.01,"에어프라이어 5L 디지털",네이비,2,99800,99800,0,2683,10985,86132,"주방가전",구매확정,Y
