주문번호,주문일시,상품명,옵션정보,수량,상품별 총 주문금액,결제금액,할인금액,배송비 결제금액,수수료합계,정산예정금액,카테고리,정산상태
NV3000022,2026-01-13,"설화수 자음2종 세트",베이지,2,240000,225600,14400,0,12780,212820,"화장품/미용",정산완료
NV3000023,2026-02-01,"애플 에어팟 프로 2세대",,1,359000,359000,0,0,18876,340124,"디지털/가전",정산완료
NV3000024,2025-12-30,"일리 네스프레소 호환 캡슐 100캡슐",베이지,2,90000,84600,5400,2889,4556,77155,"식품/음료",정산완료
NV3000025,2026-01-13,"다이슨 에어랩 멀티 스타일러",화이트,2,1498000,1498000,0,2918,88328,1406754,"디지털/가전",정산완료
NV3000026,2025-10-27,"락토핏 생유산균 골드 50포 x 3통",베이지,1,42000,42000,0,2629,2321,37050,"건강식품",정산완료
NV3000027,2025-12-31,"크록스 클래식 클로그",,1,54900,54900,0,2817,2853,49230,"패션/신발",정산완료
NV3000028,2026-03-02,"LG전자 스탠바이미",,2,2080000,2080000,0,0,116851,1963149,"디지털/가전",정산완료
NV3000029,2025-11-11,"아로마티카 로즈마리 스칼프 샴푸",베이지,1,24000,22800,1200,0,1291,21509,"화장품/미용",정산완료
NV3000030,2025-12-06,"나이키 에어포스 1 '07 화이트",,2,278000,278000,0,2723,14827,260450,"패션/신발",정산완료
NV3000031,2025-12-08,"정관장 홍삼정 에브리타임 밸런스 30포",,2,150000,150000,0,0,8552,141448,"건강식품",정산완료
NV3000032,2026-01-25,"설화수 자음2종 세트",화이트,1,120000,120000,0,0,6976,113024,"화장품/미용",정산완료
NV3000033,2025-10-09,"애플 에어팟 프로 2세대",그레이,1,359000,290790,68210,2597,19138,269055,"디지털/가전",정산완료
NV3000034,2025-10-08,"일리 네스프레소 호환 캡슐 100캡슐",네이비,2,90000,73800,16200,0,5305,68495,"식품/음료",정산완료
NV3000035,2026-03-04,"다이슨 에어랩 멀티 스타일러",M,1,749000,749000,0,2961,42645,703394,"디지털/가전",정산완료
NV3000036,2025-12-26,"락토핏 생유산균 골드 50포 x 3통",네이비,2,84000,84000,0,3435,4364,76201,"건강식품",정산완료
NV3000037,2025-10-30,"크록스 클래식 클로그",,1,54900,54900,0,2965,2797,49138,"패션/신발",정산완료
NV3000038,2026-02-27,"LG전자 스탠바이미",XL,2,2080000,2080000,0,0,104786,1975214,"디지털/가전",정산완료
NV3000039,2026-01-18,"아로마티카 로즈마리 스칼프 샴푸",,2,48000,48000,0,3258,2511,42231,"화장품/미용",정산완료
NV3000040,2026-02-17,"나이키 에어포스 1 '07 화이트",,1,139000,139000,0,0,7529,131471,"패션/신발",정산완료
NV3000041,2025-11-17,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,75000,0,0,4250,70750,"건강식품",정산완료
NV3000042,2025-10-01,"설화수 자음2종 세트",화이트,2,240000,199200,40800,0,12220,186980,"화장품/미용",정산완료
NV3000043,2026-03-03,"애플 에어팟 프로 2세대",M,1,359000,330280,28720,3048,20162,307070,"디지털/가전",정산완료
NV3000044,2025-10-09,"일리 네스프레소 호환 캡슐 100캡슐",화이트,1,45000,40050,4950,0,2331,37719,"식품/음료",정산완료
NV3000045,2025-10-08,"다이슨 에어랩 멀티 스타일러",,1,749000,599200,149800,3478,38010,557712,"디지털/가전",정산완료
NV3000046,2026-03-13,"락토핏 생유산균 골드 50포 x 3통",네이비,1,42000,34440,7560,0,2475,31965,"건강식품",정산완료
NV3000047,2025-11-11,"크록스 클래식 클로그",FREE,2,109800,109800,0,3234,6308,100258,"패션/신발",정산완료
NV3000048,2025-10-12,"LG전자 스탠바이미",,1,1040000,1040000,0,0,57471,982529,"디지털/가전",정산완료
NV3000049,2026-03-07,"아로마티카 로즈마리 스칼프 샴푸",XL,2,48000,48000,0,0,2586,45414,"화장품/미용",정산완료
NV3000050,2026-01-13,"나이키 에어포스 1 '07 화이트",그레이,2,278000,252980,25020,3121,15021,234838,"패션/신발",정산완료
NV3000051,2025-10-16,"정관장 홍삼정 에브리타임 밸런스 30포",블랙,1,75000,75000,0,2676,3912,68412,"건강식품",정산완료
NV3000052,2026-02-08,"설화수 자음2종 세트",L,2,240000,213600,26400,3224,13252,197124,"화장품/미용",정산완료
NV3000053,2025-11-14,"애플 에어팟 프로 2세대",XL,2,718000,588760,129240,0,42656,546104,"디지털/가전",정산완료
NV3000054,2026-01-07,"일리 네스프레소 호환 캡슐 100캡슐",,1,45000,45000,0,0,2512,42488,"식품/음료",정산완료
NV3000055,2026-02-01,"다이슨 에어랩 멀티 스타일러",FREE,2,1498000,1498000,0,3300,81619,1413081,"디지털/가전",정산완료
NV3000056,2025-10-02,"락토핏 생유산균 골드 50포 x 3통",M,1,42000,42000,0,0,2258,39742,"건강식품",정산완료
NV3000057,2025-12-17,"크록스 클래식 클로그",,1,54900,54900,0,0,3201,51699,"패션/신발",정산완료
NV3000058,2025-11-04,"LG전자 스탠바이미",,1,1040000,1040000,0,2834,56902,980264,"디지털/가전",정산완료
NV3000059,2026-02-23,"아로마티카 로즈마리 스칼프 샴푸",,1,24000,24000,0,0,1348,22652,"화장품/미용",정산완료
NV3000060,2025-12-23,"나이키 에어포스 1 '07 화이트",S,2,278000,222400,55600,3017,15275,204108,"패션/신발",정산완료
NV3000061,2026-03-03,"정관장 홍삼정 에브리타임 밸런스 30포",S,1,75000,75000,0,0,3822,71178,"건강식품",정산완료
NV3000062,2026-01-29,"설화수 자음2종 세트",,1,120000,109200,10800,2680,6928,99592,"화장품/미용",정산완료
NV3000063,2026-01-20,"애플 에어팟 프로 2세대",,2,718000,718000,0,2921,37133,677946,"디지털/가전",정산완료
NV3000064,2025-12-07,"일리 네스프레소 호환 캡슐 100캡슐",블랙,1,45000,36900,8100,2519,2699,31682,"식품/음료",정산완료
NV3000065,2025-12-13,"다이슨 에어랩 멀티 스타일러",,1,749000,749000,0,0,43010,705990,"디지털/가전",정산완료
NV3000066,2025-11-21,"락토핏 생유산균 골드 50포 x 3통",,1,42000,42000,0,2699,2393,36908,"건강식품",정산완료
NV3000067,2026-02-01,"크록스 클래식 클로그",L,2,109800,109800,0,3091,6108,100601,"패션/신발",정산완료
NV3000068,2025-12-02,"LG전자 스탠바이미",XL,1,1040000,1040000,0,0,58088,981912,"디지털/가전",정산완료
NV3000069,2025-10-05,"아로마티카 로즈마리 스칼프 샴푸",,1,24000,20640,3360,2939,1398,16303,"화장품/미용",정산완료
NV3000070,2025-11-05,"나이키 에어포스 1 '07 화이트",,2,278000,278000,0,2905,13962,261133,"패션/신발",정산완료
NV3000071,2025-10-17,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,75000,0,2980,4286,67734,"건강식품",정산완료
NV3000072,2026-01-04,"설화수 자음2종 세트",화이트,1,120000,120000,0,0,6364,113636,"화장품/미용",정산완료
NV3000073,2026-01-27,"애플 에어팟 프로 2세대",,1,359000,359000,0,3323,20309,335368,"디지털/가전",정산완료
NV3000074,2025-12-28,"일리 네스프레소 호환 캡슐 100캡슐",,2,90000,90000,0,0,5101,84899,"식품/음료",정산완료
NV3000075,2026-01-04,"다이슨 에어랩 멀티 스타일러",,1,749000,749000,0,2831,43832,702337,"디지털/가전",정산완료
NV3000076,2026-01-29,"락토핏 생유산균 골드 50포 x 3통",,2,84000,84000,0,0,4800,79200,"건강식품",정산완료
NV3000077,2025-10-24,"크록스 클래식 클로그",블랙,1,54900,47214,7686,2693,2885,41636,"패션/신발",정산완료
NV3000078,2026-01-28,"LG전자 스탠바이미",,1,1040000,842400,197600,0,57032,785368,"디지털/가전",정산완료
NV3000079,2025-12-29,"아로마티카 로즈마리 스칼프 샴푸",블랙,1,24000,24000,0,0,1365,22635,"화장품/미용",정산완료
NV3000080,2025-10-24,"나이키 에어포스 1 '07 화이트",화이트,1,139000,139000,0,0,7742,131258,"패션/신발",정산완료
NV3000081,2026-02-16,"정관장 홍삼정 에브리타임 밸런스 30포",XL,1,75000,75000,0,3316,3885,67799,"건강식품",정산완료
NV3000082,2026-01-12,"설화수 자음2종 세트",,1,120000,111600,8400,3393,6389,101818,"화장품/미용",정산완료
NV3000083,2025-12-07,"애플 에어팟 프로 2세대",네이비,2,718000,718000,0,0,40768,677232,"디지털/가전",정산완료
NV3000084,2026-02-11,"일리 네스프레소 호환 캡슐 100캡슐",화이트,1,45000,36000,9000,3151,2651,30198,"식품/음료",정산완료
NV3000085,2025-10-22,"다이슨 에어랩 멀티 스타일러",,1,749000,749000,0,0,41731,707269,"디지털/가전",정산완료
NV3000086,2025-10-23,"락토핏 생유산균 골드 50포 x 3통",,1,42000,42000,0,2765,2421,36814,"건강식품",정산완료
NV3000087,2025-12-31,"크록스 클래식 클로그",그레이,2,109800,109800,0,0,6419,103381,"패션/신발",정산완료
NV3000088,2025-10-15,"LG전자 스탠바이미",,1,1040000,1040000,0,3087,59398,977515,"디지털/가전",정산완료
NV3000089,2025-10-30,"아로마티카 로즈마리 스칼프 샴푸",L,2,48000,48000,0,2870,2644,42486,"화장품/미용",정산완료
NV3000090,2025-10-25,"나이키 에어포스 1 '07 화이트",블랙,2,278000,278000,0,0,15684,262316,"패션/신발",정산완료
NV3000091,2025-12-25,"정관장 홍삼정 에브리타임 밸런스 30포",블랙,2,150000,142500,7500,2553,7670,132277,"건강식품",정산완료
NV3000092,2025-11-07,"설화수 자음2종 세트",XL,2,240000,240000,0,0,12471,227529,"화장품/미용",정산완료
NV3000093,2026-01-21,"애플 에어팟 프로 2세대",그레이,1,359000,359000,0,0,19129,339871,"디지털/가전",정산완료
NV3000094,2025-11-24,"일리 네스프레소 호환 캡슐 100캡슐",FREE,2,90000,90000,0,0,4884,85116,"식품/음료",정산완료
NV3000095,2026-03-08,"다이슨 에어랩 멀티 스타일러",,1,749000,749000,0,0,44599,704401,"디지털/가전",정산완료
NV3000096,2025-12-26,"락토핏 생유산균 골드 50포 x 3통",화이트,2,84000,78960,5040,3070,4657,71233,"건강식품",정산완료
NV3000097,2025-10-23,"크록스 클래식 클로그",,1,54900,54900,0,0,3130,51770,"패션/신발",정산완료
NV3000098,2025-11-02,"LG전자 스탠바이미",L,1,1040000,852800,187200,3083,53276,796441,"디지털/가전",정산완료
NV3000099,2026-03-13,"아로마티카 로즈마리 스칼프 샴푸",,2,48000,44640,3360,0,2672,41968,"화장품/미용",정산완료
NV3000100,2025-12-14,"나이키 에어포스 1 '07 화이트",베이지,1,139000,139000,0,0,7639,131361,"패션/신발",정산완료
NV3000101,2025-10-10,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,68250,6750,2721,4477,61052,"건강식품",정산완료
NV3000102,2025-10-21,"설화수 자음2종 세트",,1,120000,120000,0,2624,6693,110683,"화장품/미용",정산완료
NV3000103,2025-11-10,"애플 에어팟 프로 2세대",L,1,359000,359000,0,0,19926,339074,"디지털/가전",정산완료
NV3000104,2026-02-12,"일리 네스프레소 호환 캡슐 100캡슐",,1,45000,45000,0,3185,2470,39345,"식품/음료",정산완료
NV3000105,2026-01-18,"다이슨 에어랩 멀티 스타일러",M,2,1498000,1498000,0,0,82228,1415772,"디지털/가전",정산완료
NV3000106,2025-11-08,"락토핏 생유산균 골드 50포 x 3통",네이비,2,84000,70560,13440,2676,5024,62860,"건강식품",정산완료
NV3000107,2025-10-12,"크록스 클래식 클로그",,1,54900,54900,0,0,3089,51811,"패션/신발",정산완료
NV3000108,2026-03-06,"LG전자 스탠바이미",,2,2080000,2080000,0,3063,115604,1961333,"디지털/가전",정산완료
NV3000109,2026-01-26,"아로마티카 로즈마리 스칼프 샴푸",M,2,48000,48000,0,0,2679,45321,"화장품/미용",정산완료
NV3000110,2025-12-01,"나이키 에어포스 1 '07 화이트",,2,278000,278000,0,2770,14989,260241,"패션/신발",정산완료
NV3000111,2025-11-01,"정관장 홍삼정 에브리타임 밸런스 30포",네이비,1,75000,75000,0,0,4025,70975,"건강식품",정산완료
NV3000112,2026-01-26,"설화수 자음2종 세트",네이비,2,240000,208800,31200,3149,14272,191379,"화장품/미용",정산완료
NV3000113,2025-10-29,"애플 에어팟 프로 2세대",M,2,718000,718000,0,2888,37104,678008,"디지털/가전",정산완료
NV3000114,2026-03-03,"일리 네스프레소 호환 캡슐 100캡슐",블랙,1,45000,41850,3150,2686,2432,36732,"식품/음료",정산완료
NV3000115,2025-11-13,"다이슨 에어랩 멀티 스타일러",,1,749000,614180,134820,0,41715,572465,"디지털/가전",정산완료
NV3000116,2025-11-20,"락토핏 생유산균 골드 50포 x 3통",,2,84000,84000,0,0,4557,79443,"건강식품",정산완료
NV3000117,2025-10-12,"크록스 클래식 클로그",화이트,2,109800,109800,0,3178,5964,100658,"패션/신발",정산완료
NV3000118,2025-11-27,"LG전자 스탠바이미",S,2,2080000,2080000,0,0,121847,1958153,"디지털/가전",정산완료
NV3000119,2026-01-25,"아로마티카 로즈마리 스칼프 샴푸",,2,48000,48000,0,2831,2412,42757,"화장품/미용",정산완료
NV3000120,2025-12-14,"나이키 에어포스 1 '07 화이트",XL,2,278000,278000,0,2906,16458,258636,"패션/신발",정산완료
NV3000121,2026-01-07,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,75000,0,3118,3798,68084,"건강식품",정산완료
NV3000122,2025-12-14,"설화수 자음2종 세트",베이지,1,120000,120000,0,0,7004,112996,"화장품/미용",정산완료
NV3000123,2026-02-14,"애플 에어팟 프로 2세대",,2,718000,718000,0,0,37789,680211,"디지털/가전",정산완료
NV3000124,2026-02-09,"일리 네스프레소 호환 캡슐 100캡슐",,1,45000,38250,6750,0,2699,35551,"식품/음료",정산완료
NV3000125,2026-01-23,"다이슨 에어랩 멀티 스타일러",L,2,1498000,1408120,89880,0,85777,1322343,"디지털/가전",정산완료
NV3000126,2026-02-04,"락토핏 생유산균 골드 50포 x 3통",화이트,1,42000,42000,0,0,2391,39609,"건강식품",정산완료
NV3000127,2025-11-28,"크록스 클래식 클로그",,2,109800,109800,0,2902,6507,100391,"패션/신발",정산완료
NV3000128,2025-11-13,"LG전자 스탠바이미",,1,1040000,1040000,0,2582,57267,980151,"디지털/가전",정산완료
NV3000129,2026-03-04,"아로마티카 로즈마리 스칼프 샴푸",,1,24000,24000,0,2990,1293,19717,"화장품/미용",정산완료
NV3000130,2025-11-27,"나이키 에어포스 1 '07 화이트",베이지,1,139000,139000,0,3256,7225,128519,"패션/신발",정산완료
NV3000131,2025-11-05,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,75000,0,2656,4487,67857,"건강식품",정산완료
NV3000132,2026-03-04,"설화수 자음2종 세트",L,2,240000,240000,0,0,12248,227752,"화장품/미용",정산완료
NV3000133,2025-10-09,"애플 에어팟 프로 2세대",,2,718000,718000,0,0,37444,680556,"디지털/가전",정산완료
NV3000134,2026-01-10,"일리 네스프레소 호환 캡슐 100캡슐",M,2,90000,90000,0,3332,4534,82134,"식품/음료",정산완료
NV3000135,2026-01-10,"다이슨 에어랩 멀티 스타일러",S,2,1498000,1333220,164780,2724,86928,1243568,"디지털/가전",정산완료
NV3000136,2025-10-18,"락토핏 생유산균 골드 50포 x 3통",M,2,84000,70560,13440,2719,4573,63268,"건강식품",정산완료
NV3000137,2025-12-13,"크록스 클래식 클로그",,1,54900,44469,10431,3427,3249,37793,"패션/신발",정산완료
NV3000138,2025-12-27,"LG전자 스탠바이미",M,2,2080000,1892800,187200,0,107449,1785351,"디지털/가전",정산완료
NV3000139,2026-02-26,"아로마티카 로즈마리 스칼프 샴푸",,1,24000,20160,3840,0,1351,18809,"화장품/미용",정산완료
NV3000140,2026-02-07,"나이키 에어포스 1 '07 화이트",,2,278000,252980,25020,3180,15035,234765,"패션/신발",정산완료
NV3000141,2025-10-30,"정관장 홍삼정 에브리타임 밸런스 30포",화이트,1,75000,75000,0,0,4294,70706,"건강식품",정산완료
NV3000142,2026-02-20,"설화수 자음2종 세트",네이비,2,240000,194400,45600,2916,14384,177100,"화장품/미용",정산완료
NV3000143,2025-12-16,"애플 에어팟 프로 2세대",,2,718000,718000,0,0,42886,675114,"디지털/가전",정산완료
NV3000144,2025-11-16,"일리 네스프레소 호환 캡슐 100캡슐",FREE,2,90000,81900,8100,0,5208,76692,"식품/음료",정산완료
NV3000145,2026-01-26,"다이슨 에어랩 멀티 스타일러",XL,2,1498000,1498000,0,0,78740,1419260,"디지털/가전",정산완료
NV3000146,2025-12-21,"락토핏 생유산균 골드 50포 x 3통",S,2,84000,75600,8400,2636,5017,67947,"건강식품",정산완료
NV3000147,2025-10-03,"크록스 클래식 클로그",,1,54900,45567,9333,2987,3113,39467,"패션/신발",정산완료
NV3000148,2025-11-14,"LG전자 스탠바이미",,2,2080000,1788800,291200,2668,114313,1671819,"디지털/가전",정산완료
NV3000149,2025-10-23,"아로마티카 로즈마리 스칼프 샴푸",블랙,2,48000,48000,0,3219,2735,42046,"화장품/미용",정산완료
NV3000150,2025-10-07,"나이키 에어포스 1 '07 화이트",FREE,1,139000,139000,0,3273,6970,128757,"패션/신발",정산완료
NV3000151,2026-01-24,"정관장 홍삼정 에브리타임 밸런스 30포",블랙,2,150000,150000,0,2529,7548,139923,"건강식품",정산완료
NV3000152,2025-12-24,"설화수 자음2종 세트",,1,120000,108000,12000,0,6411,101589,"화장품/미용",정산완료
NV3000153,2025-12-14,"애플 에어팟 프로 2세대",,2,718000,718000,0,0,41722,676278,"디지털/가전",정산완료
NV3000154,2026-02-22,"일리 네스프레소 호환 캡슐 100캡슐",,1,45000,45000,0,0,2386,42614,"식품/음료",정산완료
NV3000155,2025-10-06,"다이슨 에어랩 멀티 스타일러",,1,749000,749000,0,3119,44685,701196,"디지털/가전",정산완료
NV3000156,2025-11-18,"락토핏 생유산균 골드 50포 x 3통",,2,84000,84000,0,2683,4765,76552,"건강식품",정산완료
NV3000157,2025-10-18,"크록스 클래식 클로그",,2,109800,109800,0,0,6564,103236,"패션/신발",정산완료
NV3000158,2026-02-11,"LG전자 스탠바이미",베이지,2,2080000,2080000,0,0,109114,1970886,"디지털/가전",정산완료
NV3000159,2025-10-19,"아로마티카 로즈마리 스칼프 샴푸",M,1,24000,24000,0,0,1308,22692,"화장품/미용",정산완료
NV3000160,2025-11-06,"나이키 에어포스 1 '07 화이트",베이지,2,278000,227960,50040,3326,16293,208341,"패션/신발",정산완료
NV3000161,2026-02-14,"정관장 홍삼정 에브리타임 밸런스 30포",M,2,150000,150000,0,0,8533,141467,"건강식품",정산완료
NV3000162,2026-02-16,"설화수 자음2종 세트",XL,1,120000,120000,0,3273,6380,110347,"화장품/미용",정산완료
NV3000163,2025-10-23,"애플 에어팟 프로 2세대",,1,359000,359000,0,0,21419,337581,"디지털/가전",정산완료
NV3000164,2025-12-01,"일리 네스프레소 호환 캡슐 100캡슐",FREE,2,90000,75600,14400,2563,5013,68024,"식품/음료",정산완료
NV3000165,2025-11-30,"다이슨 에어랩 멀티 스타일러",그레이,2,1498000,1498000,0,3126,80238,1414636,"디지털/가전",정산완료
NV3000166,2025-12-18,"락토핏 생유산균 골드 50포 x 3통",,2,84000,84000,0,0,4661,79339,"건강식품",정산완료
NV3000167,2025-10-11,"크록스 클래식 클로그",화이트,1,54900,54900,0,0,2857,52043,"패션/신발",정산완료
NV3000168,2025-10-01,"LG전자 스탠바이미",베이지,1,1040000,873600,166400,0,56897,816703,"디지털/가전",정산완료
NV3000169,2025-11-20,"아로마티카 로즈마리 스칼프 샴푸",화이트,1,24000,24000,0,2544,1221,20235,"화장품/미용",정산완료
NV3000170,2025-10-30,"나이키 에어포스 1 '07 화이트",,2,278000,278000,0,0,14197,263803,"패션/신발",정산완료
NV3000171,2025-10-11,"정관장 홍삼정 에브리타임 밸런스 30포",블랙,1,75000,70500,4500,0,4372,66128,"건강식품",정산완료
NV3000172,2025-10-19,"설화수 자음2종 세트",블랙,1,120000,120000,0,2835,6323,110842,"화장품/미용",정산완료
NV3000173,2026-03-07,"애플 에어팟 프로 2세대",,2,718000,718000,0,0,41929,676071,"디지털/가전",정산완료
NV3000174,2026-01-08,"일리 네스프레소 호환 캡슐 100캡슐",화이트,1,45000,45000,0,0,2278,42722,"식품/음료",정산완료
NV3000175,2026-03-13,"다이슨 에어랩 멀티 스타일러",그레이,1,749000,749000,0,3107,40116,705777,"디지털/가전",정산완료
NV3000176,2026-01-21,"락토핏 생유산균 골드 50포 x 3통",네이비,2,84000,84000,0,3145,5004,75851,"건강식품",정산완료
NV3000177,2026-03-14,"크록스 클래식 클로그",화이트,1,54900,54900,0,0,2756,52144,"패션/신발",정산완료
NV3000178,2025-12-18,"LG전자 스탠바이미",베이지,1,1040000,1040000,0,2918,52686,984396,"디지털/가전",정산완료
NV3000179,2025-11-04,"아로마티카 로즈마리 스칼프 샴푸",S,1,24000,19440,4560,2888,1400,15152,"화장품/미용",정산완료
NV3000180,2026-01-28,"나이키 에어포스 1 '07 화이트",,2,278000,278000,0,2972,13979,261049,"패션/신발",정산완료
NV3000181,2026-02-28,"정관장 홍삼정 에브리타임 밸런스 30포",그레이,2,150000,150000,0,0,8454,141546,"건강식품",정산완료
NV3000182,2025-11-19,"설화수 자음2종 세트",블랙,2,240000,240000,0,0,12451,227549,"화장품/미용",정산완료
NV3000183,2025-11-01,"애플 에어팟 프로 2세대",베이지,1,359000,294380,64620,3478,20593,270309,"디지털/가전",정산완료
NV3000184,2026-01-22,"일리 네스프레소 호환 캡슐 100캡슐",S,1,45000,45000,0,2696,2543,39761,"식품/음료",정산완료
NV3000185,2026-01-03,"다이슨 에어랩 멀티 스타일러",베이지,2,1498000,1498000,0,0,87650,1410350,"디지털/가전",정산완료
NV3000186,2026-02-25,"락토핏 생유산균 골드 50포 x 3통",블랙,1,42000,42000,0,2831,2298,36871,"건강식품",정산완료
NV3000187,2026-02-17,"크록스 클래식 클로그",,2,109800,109800,0,2952,6302,100546,"패션/신발",정산완료
NV3000188,2026-03-07,"LG전자 스탠바이미",FREE,2,2080000,2080000,0,3005,123611,1953384,"디지털/가전",정산완료
NV3000189,2026-02-13,"아로마티카 로즈마리 스칼프 샴푸",,1,24000,24000,0,0,1262,22738,"화장품/미용",정산완료
NV3000190,2026-02-13,"나이키 에어포스 1 '07 화이트",,1,139000,111200,27800,0,7554,103646,"패션/신발",정산완료
NV3000191,2025-11-07,"정관장 홍삼정 에브리타임 밸런스 30포",,2,150000,150000,0,0,8848,141152,"건강식품",정산완료
NV3000192,2025-11-19,"설화수 자음2종 세트",,1,120000,120000,0,0,6948,113052,"화장품/미용",정산완료
NV3000193,2026-03-02,"애플 에어팟 프로 2세대",,1,359000,359000,0,2662,20570,335768,"디지털/가전",정산완료
NV3000194,2026-02-25,"일리 네스프레소 호환 캡슐 100캡슐",FREE,2,90000,83700,6300,0,5169,78531,"식품/음료",정산완료
NV3000195,2025-11-28,"다이슨 에어랩 멀티 스타일러",XL,1,749000,749000,0,2859,42991,703150,"디지털/가전",정산완료
NV3000196,2026-02-21,"락토핏 생유산균 골드 50포 x 3통",베이지,2,84000,84000,0,0,4340,79660,"건강식품",정산완료
NV3000197,2025-11-29,"크록스 클래식 클로그",블랙,2,109800,109800,0,0,5820,103980,"패션/신발",정산완료
NV3000198,2026-02-06,"LG전자 스탠바이미",베이지,1,1040000,884000,156000,0,55863,828137,"디지털/가전",정산완료
NV3000199,2026-02-06,"아로마티카 로즈마리 스칼프 샴푸",L,1,24000,24000,0,0,1326,22674,"화장품/미용",정산완료
NV3000200,2025-11-11,"나이키 에어포스 1 '07 화이트",L,2,278000,278000,0,2522,16493,258985,"패션/신발",정산완료
NV3000201,2025-10-11,"정관장 홍삼정 에브리타임 밸런스 30포",베이지,2,150000,150000,0,2984,8946,138070,"건강식품",정산완료
NV3000202,2026-01-10,"설화수 자음2종 세트",그레이,2,240000,216000,24000,0,12911,203089,"화장품/미용",정산완료
NV3000203,2025-10-18,"애플 에어팟 프로 2세대",FREE,1,359000,359000,0,0,19204,339796,"디지털/가전",정산완료
NV3000204,2025-10-03,"일리 네스프레소 호환 캡슐 100캡슐",,2,90000,90000,0,0,4866,85134,"식품/음료",정산완료
NV3000205,2025-12-16,"다이슨 에어랩 멀티 스타일러",,2,1498000,1498000,0,0,75019,1422981,"디지털/가전",정산완료
NV3000206,2026-02-25,"락토핏 생유산균 골드 50포 x 3통",L,1,42000,42000,0,3409,2338,36253,"건강식품",정산완료
NV3000207,2025-10-17,"크록스 클래식 클로그",화이트,1,54900,54900,0,2908,2878,49114,"패션/신발",정산완료
NV3000208,2026-01-13,"LG전자 스탠바이미",,2,2080000,1768000,312000,2889,122024,1643087,"디지털/가전",정산완료
NV3000209,2026-02-16,"아로마티카 로즈마리 스칼프 샴푸",,2,48000,45600,2400,3248,2680,39672,"화장품/미용",정산완료
